eta,omega,mean,std,median,min,max,q25,q75,count
0.0,1.75,20.353,19.957923481908374,16.0,1,139,7.0,28.0,1000
0.0,1.8,21.175,18.447674425024182,18.0,1,123,7.75,31.0,1000
0.0,1.85,24.059,18.686859493176424,23.0,1,117,9.0,37.0,1000
0.0,1.9,30.294,21.901032377931852,30.0,1,101,11.0,48.0,1000
0.0,1.95,43.189,29.881066867786977,47.0,1,113,15.0,67.0,1000
0.5,1.75,35.697,25.95127472128603,27.0,1,147,18.0,47.0,1000
0.5,1.8,37.249,26.686572881735326,28.0,1,147,20.0,44.0,1000
0.5,1.85,40.74,26.32298044103857,34.0,1,162,25.0,47.25,1000
0.5,1.9,47.327,22.071547843869595,46.0,1,133,33.0,60.0,1000
0.5,1.95,68.298,24.37057900668594,69.0,1,136,54.0,85.0,1000
1.0,1.75,69.827,52.9524412282572,51.5,1,232,29.0,100.25,1000
1.0,1.8,66.816,46.15287891597046,50.0,1,214,31.0,92.25,1000
1.0,1.85,63.509,37.21950040247998,52.0,1,193,37.0,83.0,1000
1.0,1.9,60.707,22.80467505149337,59.0,1,130,45.0,74.0,1000
1.0,1.95,88.223,29.201575351391593,86.0,1,163,68.0,105.0,1000
1.5,1.75,70.833,80.78698935254764,42.0,1,341,1.0,114.25,1000
1.5,1.8,63.696,76.48178245207836,33.0,1,298,1.0,111.0,1000
1.5,1.85,61.598,64.84368202916221,49.0,1,245,1.0,102.0,1000
1.5,1.9,56.057,57.65972940792733,50.0,1,207,1.0,99.0,1000
1.5,1.95,77.714,69.41123917726955,87.0,1,203,1.0,137.0,1000
2.0,1.75,63.029,94.4724891712408,2.0,1,370,1.0,113.5,1000
2.0,1.8,58.696,81.65877625668746,2.0,1,321,1.0,107.5,1000
2.0,1.85,52.996,70.98432755727684,2.0,1,272,1.0,101.25,1000
2.0,1.9,48.429,60.34038383140202,1.0,1,217,1.0,100.25,1000
2.0,1.95,59.109,71.0141826196227,1.0,1,207,1.0,122.25,1000
